pos	strand	class	group	depth
42033196	plus	unassigned	B73	15
42032733	plus	unassigned	B73	1738
42033026	plus	unassigned	B73	27
42032901	minus	nbr	B73	83
42032524	plus	unassigned	Teo	11
42032867	minus	nbr	B73	135
42033336	plus	unassigned	Teo	1
42031682	plus	ppl2	B73	15
42031845	plus	ppl2	B73	12
42032957	minus	nbr	Teo	3
42032736	minus	nbr	Teo	120
42031649	plus	unassigned	B73	2
42032194	plus	unassigned	B73	3
42032791	minus	unassigned	B73	134
42032075	minus	unassigned	B73	2
42032024	plus	unassigned	B73	3
42031884	minus	unassigned	B73	22
42032543	plus	unassigned	B73	10
42032334	plus	unassigned	Teo	7
42033180	minus	nbr	B73	53
42033343	minus	nbr	B73	8
42033122	minus	nbr	B73	107
42033355	plus	unassigned	B73	3
42032853	plus	unassigned	Teo	1008
42033146	plus	unassigned	Teo	1
42033088	minus	nbr	B73	114
42032321	plus	ppl2	B73	49
42032542	plus	ppl2	B73	173
42033212	minus	nbr	Teo	2
42032604	minus	unassigned	B73	34
42033399	minus	nbr	Teo	2
42033178	minus	nbr	Teo	3
42032635	minus	unassigned	Teo	10
42032598	plus	ppl2	Teo	200
42032377	plus	ppl2	Teo	78
42032156	plus	ppl2	Teo	26
42032319	plus	ppl2	Teo	37
42032789	minus	unassigned	B73	160
42032994	minus	nbr	B73	112
42032773	minus	nbr	B73	2813
42032144	plus	unassigned	Teo	6
42031605	plus	unassigned	B73	1
42032863	minus	nbr	Teo	6
42032805	minus	nbr	Teo	63
42032587	plus	unassigned	B73	9
42033399	plus	unassigned	B73	3
42032897	plus	unassigned	Teo	62
42032936	plus	unassigned	B73	107
42033229	plus	unassigned	B73	9
42032727	plus	unassigned	Teo	185
42032966	minus	unassigned	B73	1
42032616	minus	unassigned	Teo	11
42033311	plus	unassigned	B73	3
42033102	plus	unassigned	Teo	2
42032809	minus	nbr	B73	1406
42031690	minus	unassigned	B73	11
42031585	plus	unassigned	B73	1
42032397	plus	unassigned	B73	7
42033084	minus	nbr	Teo	12
42033247	minus	nbr	Teo	1
42033026	minus	nbr	Teo	10
42032227	plus	unassigned	B73	3
42032410	minus	unassigned	B73	56
42032667	plus	ppl2	Teo	5
42032746	plus	unassigned	B73	2530
42033039	plus	unassigned	B73	28
42032537	plus	unassigned	Teo	11
42031503	minus	unassigned	B73	6
42033291	plus	unassigned	B73	3
42032947	minus	unassigned	B73	3
42033082	plus	unassigned	Teo	2
42033349	plus	unassigned	Teo	1
42033121	plus	unassigned	B73	17
42032930	minus	unassigned	B73	3
42032595	minus	unassigned	B73	39
42031688	minus	unassigned	B73	11
42032990	minus	nbr	Teo	7
42032711	minus	nbr	Teo	50
42031671	minus	unassigned	B73	8
42032898	minus	nbr	Teo	1
42031910	plus	ppl2	Teo	7
42031876	plus	ppl2	Teo	2
42032408	minus	unassigned	B73	58
42031978	plus	unassigned	B73	3
42032056	minus	unassigned	B73	1
42031541	plus	unassigned	B73	1
42032772	minus	unassigned	B73	310
42032936	minus	nbr	B73	131
42032715	minus	nbr	B73	1699
42031865	minus	unassigned	B73	19
42032353	plus	unassigned	B73	7
42031896	minus	unassigned	Teo	7
42032872	plus	unassigned	B73	9912
42033165	plus	unassigned	B73	14
42031659	plus	ppl2	B73	13
42032663	plus	unassigned	Teo	2
42032702	plus	unassigned	B73	159
42033374	minus	nbr	Teo	1
42033153	minus	nbr	Teo	4
42032573	plus	ppl2	Teo	219
42032352	plus	ppl2	Teo	58
42032131	plus	ppl2	Teo	13
42032753	minus	unassigned	B73	359
42032403	minus	unassigned	Teo	26
42031618	plus	unassigned	B73	1
42031846	minus	unassigned	B73	15
42033378	minus	nbr	B73	5
42033157	minus	nbr	B73	72
42032784	minus	unassigned	Teo	11
42032611	plus	ppl2	B73	186
42032163	plus	unassigned	B73	9
42032682	plus	unassigned	B73	2
42032577	plus	ppl2	B73	210
42032135	plus	ppl2	B73	37
42031877	minus	unassigned	Teo	6
42032356	plus	ppl2	B73	72
42032512	plus	unassigned	B73	11
42031860	minus	unassigned	Teo	7
42032992	plus	unassigned	Teo	2
42032822	plus	unassigned	Teo	953
42033115	plus	unassigned	Teo	2
42032609	plus	ppl2	Teo	183
42032842	minus	nbr	B73	487
42031820	plus	ppl2	B73	13
42032734	minus	unassigned	B73	390
42031827	minus	unassigned	B73	15
42032399	minus	unassigned	B73	49
42032765	minus	unassigned	Teo	13
42032382	minus	unassigned	B73	44
42031858	minus	unassigned	Teo	8
42032037	plus	unassigned	B73	2
42032556	plus	unassigned	B73	10
42032347	plus	unassigned	Teo	7
42032928	minus	unassigned	B73	3
42033368	plus	unassigned	B73	4
42032866	plus	unassigned	Teo	709
42032905	plus	unassigned	B73	710
42032911	minus	unassigned	B73	3
42032576	minus	unassigned	B73	37
42033284	minus	nbr	B73	18
42033063	minus	nbr	B73	98
42031669	minus	unassigned	B73	8
42031652	minus	unassigned	B73	8
42032590	minus	unassigned	Teo	21
42033316	minus	nbr	Teo	1
42031683	minus	unassigned	Teo	10
42032515	plus	ppl2	Teo	162
42031554	plus	unassigned	B73	1
42032366	plus	unassigned	B73	7
42032157	plus	unassigned	Teo	7
42032909	minus	unassigned	B73	3
42033178	plus	unassigned	B73	13
42032676	plus	unassigned	Teo	1
42031692	plus	ppl2	B73	13
42032557	minus	unassigned	B73	48
42033051	plus	unassigned	Teo	2
42032949	plus	unassigned	B73	93
42032519	plus	ppl2	B73	163
42032967	minus	nbr	Teo	5
42032746	minus	nbr	Teo	124
42032540	minus	unassigned	B73	50
42032588	minus	unassigned	Teo	21
42031503	plus	ppl2	Teo	1
42031633	minus	unassigned	B73	6
42033324	plus	unassigned	B73	3
42032571	minus	unassigned	Teo	24
42031664	minus	unassigned	Teo	9
42031598	plus	unassigned	B73	1
42033190	minus	nbr	B73	47
42032001	minus	unassigned	B73	1
42031680	plus	unassigned	B73	2
42031947	plus	unassigned	B73	1
42031810	minus	unassigned	B73	15
42032538	minus	unassigned	B73	50
42033222	minus	nbr	Teo	2
42033001	minus	nbr	Teo	7
42032759	plus	unassigned	B73	3986
42032322	plus	unassigned	B73	8
42031841	minus	unassigned	Teo	11
42032113	plus	unassigned	Teo	5
42033188	minus	nbr	Teo	2
42032642	plus	ppl2	Teo	145
42032569	minus	unassigned	Teo	24
42033095	plus	unassigned	Teo	2
42032841	plus	unassigned	B73	14289
42032186	minus	unassigned	B73	1
42033134	plus	unassigned	B73	16
42032632	plus	unassigned	Teo	10
42032166	plus	ppl2	Teo	30
42032387	plus	ppl2	Teo	82
42031995	minus	unassigned	B73	1
42033226	minus	nbr	B73	34
42033005	minus	nbr	B73	120
42032715	minus	unassigned	B73	478
42032646	plus	ppl2	B73	162
42032873	minus	nbr	Teo	3
42031808	minus	unassigned	B73	15
42032746	minus	unassigned	Teo	13
42031851	plus	ppl2	Teo	3
42032363	minus	unassigned	B73	48
42031630	plus	ppl2	Teo	1
42031839	minus	unassigned	Teo	11
42032394	minus	unassigned	Teo	18
42032132	plus	unassigned	B73	9
42031630	plus	unassigned	Teo	1
42031822	minus	unassigned	Teo	12
42032911	minus	nbr	B73	107
42031903	plus	unassigned	B73	1
42032885	plus	unassigned	B73	3262
42032877	minus	nbr	B73	92
42032819	minus	nbr	B73	598
42032715	plus	unassigned	B73	1158
42033008	plus	unassigned	B73	27
42031634	plus	ppl2	B73	15
42031855	plus	ppl2	B73	13
42033260	plus	unassigned	B73	9
42033318	plus	unassigned	Teo	1
42032909	minus	nbr	Teo	1
42033094	minus	nbr	Teo	10
42032727	minus	unassigned	Teo	15
42032344	minus	unassigned	B73	43
42032710	minus	unassigned	Teo	15
42032375	minus	unassigned	Teo	16
42031803	minus	unassigned	Teo	11
42032176	plus	unassigned	B73	9
42032006	plus	unassigned	B73	2
42033353	minus	nbr	B73	8
42033132	minus	nbr	B73	111
42032695	plus	unassigned	B73	5
42032525	plus	unassigned	B73	12
42033098	minus	nbr	B73	112
42032552	plus	ppl2	B73	189
42032331	plus	ppl2	B73	51
42032316	plus	unassigned	Teo	7
42032110	plus	ppl2	B73	29
42033070	plus	unassigned	B73	29
42033337	plus	unassigned	B73	3
42032835	plus	unassigned	Teo	1007
42033128	plus	unassigned	Teo	2
42032521	minus	unassigned	B73	62
42032552	minus	unassigned	Teo	26
42032108	plus	ppl2	Teo	9
42032329	plus	ppl2	Teo	40
42031645	minus	unassigned	Teo	7
42032783	minus	nbr	B73	2791
42032946	minus	nbr	B73	127
42031799	minus	unassigned	B73	15
42031523	plus	unassigned	B73	1
42032815	minus	nbr	Teo	55
42032126	plus	unassigned	Teo	5
42032519	minus	unassigned	B73	61
42032569	plus	unassigned	B73	8
42032502	minus	unassigned	B73	2
42032883	minus	unassigned	B73	1
42032879	plus	unassigned	Teo	329
42032651	plus	unassigned	B73	8
42032167	minus	unassigned	B73	32
42032918	plus	unassigned	B73	204
42032533	minus	unassigned	Teo	27
42032709	plus	unassigned	Teo	84
42032150	minus	unassigned	B73	27
42031976	minus	unassigned	B73	1
42032961	plus	unassigned	Teo	4
42033201	minus	nbr	B73	39
42033388	minus	nbr	B73	4
42032621	plus	ppl2	B73	175
42032400	plus	ppl2	B73	85
42032587	plus	ppl2	B73	197
42032366	plus	ppl2	B73	80
42031567	plus	unassigned	B73	1
42033036	minus	nbr	Teo	12
42032677	plus	ppl2	Teo	2
42032379	plus	unassigned	B73	8
42032619	plus	ppl2	Teo	170
42032209	plus	unassigned	B73	3
42032898	plus	unassigned	B73	1097
42032864	minus	unassigned	B73	2
42032689	plus	unassigned	Teo	1
42032148	minus	unassigned	B73	23
42032514	minus	unassigned	Teo	27
42032728	plus	unassigned	B73	1570
42032519	plus	unassigned	Teo	11
42032131	minus	unassigned	B73	19
42032980	plus	unassigned	B73	46
42032852	minus	nbr	B73	316
42031957	minus	unassigned	B73	1
42033273	plus	unassigned	B73	3
42032771	plus	unassigned	Teo	553
42033064	plus	unassigned	Teo	2
42032810	plus	unassigned	B73	11781
42031940	minus	unassigned	B73	1
42033103	plus	unassigned	B73	24
42032601	plus	unassigned	Teo	10
42032162	minus	unassigned	Teo	13
42031830	plus	ppl2	B73	12
42032721	minus	nbr	Teo	119
42031886	plus	ppl2	Teo	3
42032708	minus	unassigned	Teo	15
42032325	minus	unassigned	B73	40
42032189	plus	unassigned	B73	3
42032356	minus	unassigned	Teo	19
42032725	minus	nbr	B73	2926
42032271	plus	unassigned	B73	1
42032581	plus	unassigned	Teo	11
42032493	minus	unassigned	B73	2
42031669	plus	ppl2	B73	14
42032335	plus	unassigned	B73	7
42032854	plus	unassigned	B73	14236
42033147	plus	unassigned	B73	25
42032645	plus	unassigned	Teo	10
42033384	minus	nbr	Teo	2
42033163	minus	nbr	Teo	3
42033326	minus	nbr	Teo	1
42033105	minus	nbr	Teo	11
42032583	plus	ppl2	Teo	208
42032362	plus	ppl2	Teo	75
42032141	plus	ppl2	Teo	14
42033020	plus	unassigned	Teo	2
42032525	plus	ppl2	Teo	215
42032306	minus	unassigned	B73	1
42032687	minus	unassigned	B73	4
42032337	minus	unassigned	Teo	19
42032670	minus	unassigned	B73	6
42032320	minus	unassigned	Teo	15
42033167	minus	nbr	B73	70
42033109	minus	nbr	B73	111
42032145	plus	ppl2	B73	48
42031794	minus	unassigned	Teo	11
42032529	plus	ppl2	B73	182
42032977	minus	nbr	Teo	6
42032756	minus	nbr	Teo	116
42031643	plus	unassigned	Teo	1
42032145	plus	unassigned	B73	9
42032664	plus	unassigned	B73	3
42032974	plus	unassigned	Teo	4
42032804	plus	unassigned	Teo	894
42032668	minus	unassigned	B73	7
42032318	minus	unassigned	Teo	15
42032651	minus	unassigned	B73	15
42031796	plus	ppl2	B73	11
42032699	minus	unassigned	Teo	1
42032682	minus	unassigned	Teo	1
42033232	minus	nbr	Teo	2
42033011	minus	nbr	Teo	8
42032652	plus	ppl2	Teo	8
42031896	plus	unassigned	B73	1
42032397	plus	ppl2	Teo	81
42032019	plus	unassigned	B73	3
42032129	minus	unassigned	B73	19
42032845	minus	unassigned	B73	23
42032538	plus	unassigned	B73	10
42032112	minus	unassigned	B73	19
42032329	plus	unassigned	Teo	7
42032101	plus	unassigned	B73	2
42032790	plus	unassigned	B73	9608
42031938	minus	unassigned	B73	1
42033083	plus	unassigned	B73	32
42033294	minus	nbr	B73	14
42033073	minus	nbr	B73	116
42032848	plus	unassigned	Teo	971
42032620	plus	unassigned	B73	9
42031921	minus	unassigned	B73	1
42033236	minus	nbr	B73	28
42033015	minus	nbr	B73	110
42032411	plus	unassigned	Teo	2
42032143	minus	unassigned	Teo	15
42032930	plus	unassigned	Teo	5
42032656	plus	ppl2	B73	119
42032883	minus	nbr	Teo	1
42031861	plus	ppl2	Teo	3
42032921	minus	nbr	B73	109
42033017	minus	unassigned	B73	1
42031536	plus	unassigned	B73	1
42033000	minus	unassigned	B73	1
42032887	minus	nbr	B73	64
42032826	minus	unassigned	B73	34
42032348	plus	unassigned	B73	8
42032139	plus	unassigned	Teo	6
42031865	plus	ppl2	B73	16
42031919	minus	unassigned	B73	1
42031644	plus	ppl2	B73	15
42032867	plus	unassigned	B73	10546
42032391	plus	unassigned	Teo	2
42032430	plus	unassigned	B73	1
42031902	minus	unassigned	B73	21
42032658	plus	unassigned	Teo	3
42032840	minus	unassigned	Teo	1
42032124	minus	unassigned	Teo	14
42033242	plus	unassigned	B73	9
42032740	plus	unassigned	Teo	215
42033033	plus	unassigned	Teo	2
42033306	plus	unassigned	B73	3
42033363	minus	nbr	B73	4
42033142	minus	nbr	B73	104
42032807	minus	unassigned	B73	118
42032562	plus	ppl2	B73	208
42032120	plus	ppl2	B73	30
42032341	plus	ppl2	B73	57
42032838	minus	unassigned	Teo	1
42031662	plus	unassigned	B73	2
42033198	minus	nbr	Teo	2
42032176	plus	ppl2	Teo	34
42032993	plus	unassigned	B73	24
42032339	plus	ppl2	Teo	52
42032118	plus	ppl2	Teo	10
42033286	plus	unassigned	B73	3
42032784	plus	unassigned	Teo	826
42033077	plus	unassigned	Teo	2
42032823	plus	unassigned	B73	12657
42033116	plus	unassigned	B73	17
42032614	plus	unassigned	Teo	10
42032793	minus	nbr	B73	1583
42032649	minus	unassigned	B73	22
42032632	minus	unassigned	B73	25
42032825	minus	nbr	Teo	26
42032663	minus	unassigned	Teo	1
42031991	plus	unassigned	B73	3
42032084	minus	unassigned	B73	4
42032114	plus	unassigned	B73	6
42033096	plus	unassigned	B73	28
42031893	minus	unassigned	B73	23
42032594	plus	unassigned	Teo	11
42032633	plus	unassigned	B73	8
42032829	minus	nbr	B73	542
42032943	plus	unassigned	Teo	4
42031807	plus	ppl2	B73	14
42032613	minus	unassigned	B73	29
42033301	minus	nbr	Teo	1
42032994	minus	unassigned	B73	1
42033046	minus	nbr	Teo	13
42032644	minus	unassigned	Teo	10
42033305	minus	nbr	B73	13
42032158	plus	unassigned	B73	9
42032952	minus	nbr	Teo	3
42032731	minus	nbr	Teo	124
42032677	plus	unassigned	B73	2
42032240	plus	unassigned	B73	2
42032821	minus	unassigned	Teo	1
42032105	minus	unassigned	Teo	10
42032987	plus	unassigned	Teo	1
42033052	plus	unassigned	B73	31
42032550	plus	unassigned	Teo	10
42033319	plus	unassigned	B73	3
42032817	plus	unassigned	Teo	924
42031896	plus	ppl2	Teo	5
42032975	minus	unassigned	B73	1
42033362	plus	unassigned	Teo	1
42032956	minus	nbr	B73	126
42032735	minus	nbr	B73	2979
42031675	plus	unassigned	B73	2
42031679	plus	ppl2	B73	14
42032819	minus	unassigned	Teo	1
42032050	plus	unassigned	B73	2
42033394	minus	nbr	Teo	2
42033173	minus	nbr	Teo	3
42032802	minus	unassigned	Teo	5
42032317	plus	unassigned	B73	8
42032108	plus	unassigned	Teo	5
42033299	plus	unassigned	B73	3
42032797	plus	unassigned	Teo	881
42032593	plus	ppl2	Teo	206
42032151	plus	ppl2	Teo	26
42032360	plus	unassigned	Teo	7
42032372	plus	ppl2	Teo	76
42032627	plus	unassigned	Teo	10
42033002	plus	unassigned	Teo	2
42033211	minus	nbr	B73	42
42031697	minus	unassigned	B73	13
42033398	minus	nbr	B73	4
42033177	minus	nbr	B73	51
42032631	plus	ppl2	B73	171
42032410	plus	ppl2	B73	86
42031680	minus	unassigned	B73	10
42032597	plus	ppl2	B73	198
42032376	plus	ppl2	B73	86
42032155	plus	ppl2	B73	48
42033209	minus	nbr	Teo	2
42032629	plus	ppl2	Teo	158
42031549	plus	unassigned	B73	1
42032408	plus	ppl2	Teo	91
42032400	minus	unassigned	B73	49
42032798	minus	unassigned	B73	131
42031631	plus	unassigned	B73	2
42032781	minus	unassigned	B73	305
42032065	minus	unassigned	B73	1
42032862	minus	nbr	B73	149
42031874	minus	unassigned	B73	19
42032443	plus	unassigned	B73	1
42031840	plus	ppl2	B73	11
42032962	plus	unassigned	B73	55
42033255	plus	unassigned	B73	10
42032753	plus	unassigned	Teo	289
42033046	plus	unassigned	Teo	2
42032625	minus	unassigned	Teo	12
42032779	minus	unassigned	B73	307
42032762	minus	unassigned	B73	333
42031960	plus	unassigned	B73	1
42031855	minus	unassigned	B73	15
42033083	minus	nbr	B73	117
42032793	minus	unassigned	Teo	6
42032253	plus	unassigned	B73	1
42031886	minus	unassigned	Teo	8
42032563	plus	unassigned	Teo	10
42033336	minus	nbr	Teo	1
42033115	minus	nbr	Teo	8
42032836	plus	unassigned	B73	13580
42033129	plus	unassigned	B73	12
42032314	plus	ppl2	Teo	33
42032535	plus	ppl2	Teo	224
42033381	plus	unassigned	B73	3
42032956	minus	unassigned	B73	1
42032606	minus	unassigned	Teo	16
42033211	plus	unassigned	B73	14
42033119	minus	nbr	B73	108
42032800	minus	nbr	Teo	68
42032539	plus	ppl2	B73	173
42032318	plus	ppl2	B73	49
42032987	minus	nbr	Teo	6
42032766	minus	nbr	Teo	114
42032391	minus	unassigned	B73	45
42032127	plus	unassigned	B73	6
42032646	plus	unassigned	B73	10
42032170	plus	unassigned	Teo	7
42033191	plus	unassigned	B73	15
42032937	minus	unassigned	B73	3
42032956	plus	unassigned	Teo	4
42032804	minus	nbr	B73	1423
42033021	plus	unassigned	B73	25
42032920	minus	unassigned	B73	3
42032585	minus	unassigned	B73	38
42033331	plus	unassigned	Teo	1
42031678	minus	unassigned	B73	10
42031661	minus	unassigned	B73	7
42033242	minus	nbr	Teo	1
42033021	minus	nbr	Teo	8
42031692	minus	unassigned	Teo	10
42032662	plus	ppl2	Teo	7
42032604	plus	ppl2	Teo	194
42031644	plus	unassigned	B73	2
42032412	minus	unassigned	Teo	1
42032918	minus	unassigned	B73	3
42033059	plus	unassigned	Teo	2
42033246	minus	nbr	B73	27
42033025	minus	nbr	B73	114
42032566	minus	unassigned	B73	43
42032772	plus	unassigned	B73	5202
42033065	plus	unassigned	B73	28
42032666	plus	ppl2	B73	76
42032893	minus	nbr	Teo	1
42032608	plus	ppl2	B73	187
42032602	plus	unassigned	B73	10
42031659	minus	unassigned	B73	8
42032597	minus	unassigned	Teo	20
42031871	plus	ppl2	Teo	3
42031642	minus	unassigned	B73	7
42032912	plus	unassigned	Teo	27
42032580	minus	unassigned	Teo	21
42031673	minus	unassigned	Teo	10
42032931	minus	nbr	B73	126
42032710	minus	nbr	B73	756
42032897	minus	nbr	B73	74
42032839	minus	nbr	B73	502
42032743	minus	unassigned	B73	373
42031875	plus	ppl2	B73	16
42031654	plus	ppl2	B73	14
42031817	plus	ppl2	B73	13
42031836	minus	unassigned	B73	16
42032774	minus	unassigned	Teo	12
42031600	plus	unassigned	B73	1
42032708	minus	nbr	Teo	2
42031867	minus	unassigned	Teo	5
42032582	plus	unassigned	B73	9
42032849	plus	unassigned	B73	14500
42032373	plus	unassigned	Teo	5
42031850	minus	unassigned	Teo	9
42031907	plus	ppl2	Teo	7
42032412	plus	unassigned	B73	4
42033394	plus	unassigned	B73	3
42032892	plus	unassigned	Teo	125
42032931	plus	unassigned	B73	126
42032195	minus	unassigned	B73	1
42033224	plus	unassigned	B73	8
42032722	plus	unassigned	Teo	159
42033015	plus	unassigned	Teo	2
42033373	minus	nbr	B73	3
42033152	minus	nbr	B73	85
42033315	minus	nbr	B73	9
42032008	minus	unassigned	B73	1
42032724	minus	unassigned	B73	456
42032572	plus	ppl2	B73	210
42032351	plus	ppl2	B73	62
42032130	plus	ppl2	B73	35
42032514	plus	ppl2	B73	89
42032389	minus	unassigned	B73	44
42031580	plus	unassigned	B73	1
42031817	minus	unassigned	B73	15
42032755	minus	unassigned	Teo	13
42032372	minus	unassigned	B73	42
42031638	plus	unassigned	Teo	1
42031800	minus	unassigned	B73	15
42032392	plus	unassigned	B73	7
42031848	minus	unassigned	Teo	10
42031831	minus	unassigned	Teo	11
42032349	plus	ppl2	Teo	58
42032128	plus	ppl2	Teo	13
42032975	plus	unassigned	B73	55
42033268	plus	unassigned	B73	9
42032766	plus	unassigned	Teo	490
42032966	minus	nbr	B73	116
42032745	minus	nbr	B73	3028
42032901	minus	unassigned	B73	2
42032805	plus	unassigned	B73	11381
42033350	plus	unassigned	B73	3
42031502	plus	ppl2	B73	14
42033141	plus	unassigned	Teo	1
42032835	minus	nbr	Teo	24
42031689	plus	ppl2	B73	15
42032353	minus	unassigned	B73	46
42032384	minus	unassigned	Teo	17
42031973	plus	unassigned	B73	3
42032266	plus	unassigned	B73	1
42032785	plus	unassigned	B73	9486
42033221	minus	nbr	B73	34
42033078	plus	unassigned	B73	32
42033000	minus	nbr	B73	114
42032576	plus	unassigned	Teo	10
42032615	plus	unassigned	B73	9
42032406	plus	unassigned	Teo	2
42033187	minus	nbr	B73	48
42032641	plus	ppl2	B73	165
42033160	plus	unassigned	B73	14
42032547	minus	unassigned	B73	48
42032925	plus	unassigned	Teo	5
42033311	minus	nbr	Teo	1
42032386	plus	ppl2	B73	82
42032530	minus	unassigned	B73	54
42032165	plus	ppl2	B73	46
42032578	minus	unassigned	Teo	19
42033056	minus	nbr	Teo	13
42033219	minus	nbr	Teo	2
42032561	minus	unassigned	Teo	25
42032639	plus	ppl2	Teo	146
42031654	minus	unassigned	Teo	9
42032872	minus	nbr	B73	99
42031850	plus	ppl2	B73	13
42032962	minus	nbr	Teo	3
42032741	minus	nbr	Teo	124
42032386	plus	unassigned	Teo	3
42032904	minus	nbr	Teo	1
42032528	minus	unassigned	B73	54
42032659	plus	unassigned	B73	5
42032511	minus	unassigned	B73	59
42032222	plus	unassigned	B73	3
42031627	plus	ppl2	Teo	1
42031848	plus	ppl2	Teo	3
42032559	minus	unassigned	Teo	25
42032892	minus	unassigned	B73	1
42032969	plus	unassigned	Teo	4
42032741	plus	unassigned	B73	1898
42032176	minus	unassigned	B73	34
42033034	plus	unassigned	B73	28
42032532	plus	unassigned	Teo	11
42032542	minus	unassigned	Teo	25
42031985	minus	unassigned	B73	1
42031635	minus	unassigned	Teo	3
42033344	plus	unassigned	Teo	1
42032908	minus	nbr	B73	97
42033093	minus	nbr	B73	109
42032705	minus	unassigned	B73	403
42032736	minus	unassigned	Teo	13
42031657	plus	unassigned	B73	2
42033183	minus	nbr	Teo	3
42033346	minus	nbr	Teo	1
42033125	minus	nbr	Teo	8
42031829	minus	unassigned	Teo	11
42032382	plus	ppl2	Teo	78
42032161	plus	ppl2	Teo	26
42032032	plus	unassigned	B73	2
42032545	plus	ppl2	Teo	224
42031812	minus	unassigned	Teo	13
42032324	plus	ppl2	Teo	38
42032988	plus	unassigned	B73	26
42032873	minus	unassigned	B73	1
42032779	plus	unassigned	Teo	683
42032551	plus	unassigned	B73	10
42032157	minus	unassigned	B73	28
